pet_id,pet_name   ,species,breed               ,age_years,gender,color  ,arrival_date,adopted,adoption_date,adopter_id,adopter_name             ,adopter_age,adopter_city        ,adopter_previous_pets
P0152 ,Rebecca    ,Rabbit ,Dutch               ,        6,Male  ,Mixed  ,2024-01-16  ,True   ,2024-06-30   ,A0152     ,Stacey Bell              ,         70,Port Stephenhaven   ,                    1
P0153 ,Roger      ,Cat    ,Sphynx              ,       14,Male  ,Brown  ,2024-05-26  ,False  ,2024-06-04   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0154 ,Christopher,Hamster,Roborovski          ,        7,Male  ,White  ,2023-11-09  ,False  ,2023-11-29   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0155 ,Lisa       ,Dog    ,Great Dane          ,       10,Female,Golden ,2024-12-06  ,False  ,2024-12-13   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0156 ,Megan      ,Rabbit ,Dutch               ,        2,Male  ,Grey   ,2024-02-13  ,False  ,2024-03-01   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0157 ,Jared      ,Hamster,Roborovski          ,       11,Female,Mixed  ,2024-08-12  ,True   ,2024-12-27   ,A0157     ,Whitney Gray             ,         62,East Dennisborough  ,                    0
P0158 ,Cynthia    ,Cat    ,Siamese             ,        2,Female,Brown  ,2024-02-13  ,False  ,2024-03-07   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0159 ,Jennifer   ,Hamster,Teddy Bear Hamster  ,        9,Female,Golden ,2025-01-10  ,True   ,2025-01-13   ,A0159     ,Lisa Sanchez             ,         36,East Hectorbury     ,                    2
P0160 ,Heidi      ,Bird   ,Amazon Parrot       ,        6,Female,Spotted,2025-04-18  ,True   ,2025-06-18   ,A0160     ,Kimberly Gross           ,         39,North Sarahview     ,                    2
P0161 ,Angela     ,Hamster,Syrian              ,        3,Female,Golden ,2024-11-07  ,True   ,2025-01-24   ,A0161     ,Christopher Johnson      ,         71,Michaelaland        ,                    0
P0162 ,Stacy      ,Dog    ,Labrador Retriever  ,       15,Male  ,White  ,2024-07-27  ,True   ,2024-09-12   ,A0162     ,Colton Becker            ,         45,Bergerville         ,                    1
P0163 ,Elizabeth  ,Cat    ,Norwegian Forest Cat,        2,Female,Grey   ,2023-12-17  ,False  ,2023-12-29   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0164 ,Aaron      ,Hamster,Roborovski          ,       12,Female,Brown  ,2025-04-26  ,True   ,2025-06-18   ,A0164     ,Amanda Hall              ,         25,Jasminefurt         ,                    1
P0165 ,Jason      ,Rabbit ,Silver Marten       ,       14,Female,Spotted,2023-06-22  ,False  ,2023-07-20   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0166 ,Amanda     ,Rabbit ,Netherland Dwarf    ,        4,Male  ,Brown  ,2025-06-14  ,False  ,2025-06-29   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0167 ,Alex       ,Hamster,Korean              ,        3,Female,Mixed  ,2025-02-09  ,True   ,2025-03-09   ,A0167     ,Natasha Porter           ,         32,Stephensfurt        ,                    4
P0168 ,Kathy      ,Cat    ,Maine Coon          ,        7,Female,Mixed  ,2023-10-17  ,False  ,2023-10-23   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0169 ,Heather    ,Rabbit ,Mini Rex            ,       12,Male  ,Grey   ,2024-10-15  ,False  ,2024-11-01   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0170 ,Alisha     ,Bird   ,Conure              ,        1,Male  ,Black  ,2024-01-29  ,False  ,2024-02-26   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0171 ,Jessica    ,Rabbit ,French Lop          ,        6,Female,White  ,2024-01-29  ,False  ,2024-02-13   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0172 ,Tracy      ,Dog    ,Boxer               ,        4,Male  ,White  ,2025-06-02  ,True   ,2025-06-18   ,A0172     ,Kevin Mann               ,         64,Laurenmouth         ,                    0
P0173 ,Brittany   ,Hamster,Syrian              ,       15,Female,Black  ,2023-12-01  ,True   ,2024-03-11   ,A0173     ,William Stuart           ,         58,East Jessicaborough ,                    2
P0174 ,Julie      ,Cat    ,Persian             ,        2,Female,Grey   ,2025-01-20  ,True   ,2025-01-22   ,A0174     ,Ashlee Davis             ,         75,Lake Richard        ,                    4
P0175 ,Sarah      ,Bird   ,Macaw               ,        5,Female,Grey   ,2025-05-02  ,False  ,2025-05-18   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0176 ,David      ,Cat    ,Siamese             ,       15,Male  ,Golden ,2025-05-02  ,True   ,2025-06-18   ,A0176     ,John Johnson             ,         25,New Stevenborough   ,                    3
P0177 ,Gloria     ,Rabbit ,Flemish Giant       ,       12,Female,Spotted,2024-07-11  ,True   ,2024-07-31   ,A0177     ,Jessica Leon             ,         32,Morrowfurt          ,                    2
P0178 ,Deborah    ,Cat    ,Ragdoll             ,        2,Male  ,Brown  ,2024-11-01  ,True   ,2024-11-10   ,A0178     ,Kevin Jones              ,         59,New Stephanieville  ,                    4
P0179 ,Monica     ,Bird   ,Amazon Parrot       ,       13,Male  ,Spotted,2024-09-24  ,True   ,2024-11-26   ,A0179     ,Vincent Combs            ,         58,Sandersfurt         ,                    5
P0180 ,Sarah      ,Dog    ,Golden Retriever    ,        5,Female,Spotted,2024-07-19  ,True   ,2025-01-10   ,A0180     ,Lori Davis               ,         43,New Elijah          ,                    1
P0181 ,Joyce      ,Bird   ,Cockatiel           ,        9,Male  ,White  ,2025-02-12  ,True   ,2025-05-12   ,A0181     ,Donald Adams             ,         30,Williamsbury        ,                    2
P0182 ,Allison    ,Hamster,Chinese             ,       13,Female,Black  ,2025-05-05  ,False  ,2025-05-21   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0183 ,Margaret   ,Dog    ,Great Dane          ,       13,Female,Black  ,2023-10-08  ,True   ,2024-01-07   ,A0183     ,Sharon Clark             ,         72,Wareshire           ,                    0
P0184 ,Christopher,Cat    ,Devon Rex           ,        3,Male  ,Grey   ,2024-05-31  ,True   ,2024-10-14   ,A0184     ,Ariel Johnson            ,         37,New Cindy           ,                    4
P0185 ,Keith      ,Hamster,Russian Dwarf       ,        7,Female,Golden ,2024-09-22  ,True   ,2025-02-24   ,A0185     ,Charles Torres           ,         62,North Oliviastad    ,                    4
P0186 ,Kelly      ,Rabbit ,Mini Rex            ,        3,Male  ,Spotted,2024-11-23  ,False  ,2024-12-09   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0187 ,Cynthia    ,Dog    ,Great Dane          ,        4,Female,Mixed  ,2023-11-23  ,False  ,2023-12-11   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0188 ,Michael    ,Cat    ,Ragdoll             ,       14,Female,Brown  ,2024-07-27  ,False  ,2024-08-07   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0189 ,Sandra     ,Bird   ,Parakeet            ,        2,Male  ,White  ,2024-02-20  ,True   ,2024-06-17   ,A0189     ,Tracy Flores             ,         48,Jaredland           ,                    4
P0190 ,Ashley     ,Bird   ,Lovebird            ,       13,Female,Brown  ,2024-10-14  ,False  ,2024-10-20   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0191 ,Sharon     ,Rabbit ,English Angora      ,        6,Female,Grey   ,2024-04-08  ,True   ,2024-09-15   ,A0191     ,Michael Thornton         ,         30,Lake Christopher    ,                    5
P0192 ,Sandra     ,Rabbit ,Lionhead            ,        7,Female,White  ,2025-01-21  ,True   ,2025-03-12   ,A0192     ,Diana Taylor             ,         61,West Stevenfort     ,                    1
P0193 ,Cynthia    ,Hamster,European Hamster    ,        2,Male  ,Black  ,2024-09-05  ,False  ,2024-09-16   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0194 ,David      ,Bird   ,Cockatiel           ,        4,Male  ,White  ,2024-10-03  ,True   ,2025-02-25   ,A0194     ,Sheryl Matthews          ,         20,Blackchester        ,                    1
P0195 ,Natalie    ,Rabbit ,Lionhead            ,       14,Male  ,Brown  ,2024-11-01  ,False  ,2024-11-17   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0196 ,Melissa    ,Hamster,Chinese             ,        8,Male  ,White  ,2024-11-10  ,False  ,2024-11-28   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0197 ,Ricky      ,Dog    ,Labrador Retriever  ,        4,Female,Golden ,2025-04-09  ,False  ,2025-05-06   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0198 ,Carly      ,Rabbit ,Flemish Giant       ,        5,Male  ,Spotted,2024-02-02  ,False  ,2024-02-13   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
P0199 ,Don        ,Dog    ,Great Dane          ,        1,Male  ,Mixed  ,2024-11-11  ,True   ,2024-12-25   ,A0199     ,Derek Martinez           ,         25,South Michelle      ,                    1
P0200 ,Caleb      ,Bird   ,Canary              ,        5,Male  ,Golden ,2024-10-16  ,False  ,2024-11-07   ,NULL      ,NULL                     ,         -1,NULL                ,                    0
